Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Collections 4.3.0,,,,,"System.Collections, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.IO 4.3.0,,,,,"System.IO, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Linq 4.3.0,,,,,"System.Linq, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Linq.Expressions 4.3.0,,,,,"System.Linq.Expressions, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Reflection 4.3.0,,,,,"System.Reflection, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Reflection.Extensions 4.3.0,,,,,"System.Reflection.Extensions, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Reflection.TypeExtensions 4.7.0,,,,,"System.Reflection.TypeExtensions, 4.7.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Resources.ResourceManager 4.3.0,,,,,"System.Resources.ResourceManager, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Runtime 4.3.1,,,,,"System.Runtime, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Runtime.Extensions 4.3.1,,,,,"System.Runtime.Extensions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Text.Encoding 4.3.0,,,,,"System.Text.Encoding, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,System.Threading 4.3.0,,,,,"System.Threading, 4.3.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\BinarySerializer.csproj,,,,,,,,Current target framework: netstandard1.3;net462 Recommended target framework: netstandard1.3;net462;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\Graph\ValueGraph\ValueValueNode.cs,559,20,M:System.IO.BinaryReader.ReadString,,,,,value = reader.ReadString();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BinarySerializer\BinarySerializer.csproj,File,BinarySerializer\Graph\ValueGraph\ValueValueNode.cs,483,20,M:System.IO.BinaryReader.ReadString,,,,,value = reader.ReadString();
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BinarySerializer.Performance\BinarySerializer.Performance.csproj,File,BinarySerializer.Performance\BinarySerializer.Performance.csproj,,,System.Runtime.Serialization.Formatters 4.3.0,,,,,"System.Runtime.Serialization.Formatters, 4.3.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BinarySerializer.Performance\BinarySerializer.Performance.csproj,File,BinarySerializer.Performance\BinarySerializer.Performance.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BinarySerializer.Test\BinarySerializer.Test.csproj,File,BinarySerializer.Test\BinarySerializer.Test.csproj,,,System.Text.Encoding.CodePages 6.0.0,,,,,"System.Text.Encoding.CodePages, 6.0.0  Recommendation:  Remove System.Text.Encoding.CodePages, and replace with new package System.Text.Encoding.CodePages 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BinarySerializer.Test\BinarySerializer.Test.csproj,File,BinarySerializer.Test\BinarySerializer.Test.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
